sector,species,year,value
Cutter fisheries,Shrimp,2003,2.64
Cutter fisheries,Shrimp,2004,2.53
Cutter fisheries,Shrimp,2005,2.92
Cutter fisheries,Shrimp,2006,2.74
Cutter fisheries,Shrimp,2007,3.76
Cutter fisheries,Shrimp,2008,4.17
Cutter fisheries,Shrimp,2009,2.48
Cutter fisheries,Shrimp,2010,2.66
Cutter fisheries,Shrimp,2011,1.97
Cutter fisheries,Shrimp,2012,4.3
Cutter fisheries,Shrimp,2013,3.77
Cutter fisheries,Shrimp,2014,3.26
Cutter fisheries,Shrimp,2015,3.56
Cutter fisheries,Shrimp,2016,7.29
Cutter fisheries,Shrimp,2017,7.45
