month,sizeclass,mean_weight_month,mean_lengte_month
1,1,9848.2014388,97.278571429
2,1,8854.6595745,96.765957447
3,1,8977.8,96.853333333
4,1,8569.6,97
5,1,9305.9318182,98.204545455
6,1,8775,95.611764706
7,1,8716.5,95.904411765
8,1,8851.2272727,95.46969697
9,1,9315.8852459,97.442622951
10,1,9367.3125,97.520833333
11,1,9943.3972603,97.260273973
12,1,9980.4545455,96.705882353
1,2,6045.3786408,83.106796117
2,2,5661.9113924,82.987341772
3,2,5547.5121951,82.731707317
4,2,5569.8157895,82.842105263
5,2,5626.725,82.666666667
6,2,5876.7065217,82.543478261
7,2,5979.2727273,83.097902098
8,2,5779.1408451,83.014084507
9,2,5950.546875,82.640625
10,2,5971.1294118,83.294117647
11,2,5940.2168675,82.457831325
12,2,6084,81.926829268
1,3,3322.1704036,66.659192825
2,3,3132.5357143,67.464285714
3,3,2869.8535032,65.662420382
4,3,3085.875,65.6875
5,3,2910.1959184,65.391836735
6,3,3094.359116,65.613259669
7,3,3158.2930514,66.148036254
8,3,2712.7819149,62.909574468
9,3,2880.9606742,64.460674157
10,3,2937.3658537,65.837398374
11,3,3255.9264706,66.12745098
12,3,3101.046729,64.813084112
1,4,1466.6052632,50.701754386
2,4,1330.5348837,49.953488372
3,4,1339.4482759,50.413793103
4,4,1346.9268293,50.097560976
5,4,1397.7096774,51.107526882
6,4,1345.5,50.571428571
7,4,1370.426087,50.756521739
8,4,1405.8870968,51.016129032
9,4,1383.890625,50.96875
10,4,1290.65625,50.65625
11,4,1489.3783784,50.756756757
12,4,1546.0714286,50.523809524
1,5,781.83529412,41.388235294
2,5,789.75,41.25
3,5,732.52173913,41.108695652
4,5,718.71428571,41.314285714
5,5,684.125,40.819444444
6,5,720,40.403846154
7,5,715.5,41.557692308
8,5,635.86956522,39.847826087
9,5,728,40.847222222
10,5,674.7,40.933333333
11,5,839.89285714,41.226190476
12,5,819,41.45
1,6,406.05882353,33.882352941
2,6,384.42857143,32.714285714
3,6,321.75,32.5
4,6,370.5,33.166666667
5,6,391.69565217,33.086956522
6,6,447.35294118,33
7,6,403.65,33.1
8,6,373.75,33.138888889
9,6,297.81818182,32.727272727
10,6,300.85714286,33.428571429
11,6,459,34.153846154
12,6,370.5,33.583333333
