Sector,vistak,pk-klasse,Period,Variable,Value
Cutter fisheries,Beamtrawl,1501-2000,2016,Fuel use per day at sea (L),6816.79
Cutter fisheries,Beamtrawl,1501-2000,2016,Fuel costs per day at sea (Euro),2308.91
Cutter fisheries,Beamtrawl,1501-2000,2016,Fuel costs as % of revenues,21.56
Cutter fisheries,Beamtrawl,1501-2000,2016,Fuel use per kg fish landed,1.47
Cutter fisheries,Pulse,1501-2000,2016,Fuel use per day at sea (L),4064.41
Cutter fisheries,Pulse,1501-2000,2016,Fuel costs per day at sea (Euro),1373.29
Cutter fisheries,Pulse,1501-2000,2016,Fuel costs as % of revenues,13.06
Cutter fisheries,Pulse,1501-2000,2016,Fuel use per kg fish landed,1.82
Cutter fisheries,SumWing,1501-2000,2016,Fuel use per day at sea (L),5878.05
Cutter fisheries,SumWing,1501-2000,2016,Fuel costs per day at sea (Euro),2022.19
Cutter fisheries,SumWing,1501-2000,2016,Fuel costs as % of revenues,19.38
Cutter fisheries,SumWing,1501-2000,2016,Fuel use per kg fish landed,1.46
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Cutter fisheries,Total,Total,2016,gasoil,0.34
